id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix
0,A_SUBMITTED,2023-08-18 18:07:24.786040,2023-08-18 18:07:24.786040,2023-08-18 18:11:14.717873,Role 1,Sara,0,0,0,0,[],0.5,0,[]
0,A_PARTLYSUBMITTED,2023-08-18 18:11:14.717873,2023-08-18 18:11:14.717873,2023-08-18 19:04:15.469752,Role 2,Ellen,0,0,0,0,[],0.5,0,['A_SUBMITTED']
0,A_DECLINED,2023-08-18 19:04:15.469752,2023-08-18 19:04:15.469752,2023-08-18 19:34:00.152104,Role 2,Sue,0,0,0,0,[],0.5,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']"
